1069.0,12.0,743.0,6.0
743.0,6.0,607.0,38.0
607.0,38.0,559.0,63.0
559.0,63.0,512.0,73.0
512.0,73.0,454.0,74.0
454.0,74.0,403.0,55.0
403.0,55.0,340.0,19.0
340.0,19.0,207.0,12.0
207.0,12.0,44.0,46.0
44.0,46.0,7.0,160.0
7.0,160.0,19.0,388.0
19.0,388.0,90.0,650.0
90.0,650.0,286.0,682.0
286.0,682.0,517.0,668.0
517.0,668.0,644.0,596.0
644.0,596.0,749.0,564.0
749.0,564.0,883.0,598.0
883.0,598.0,952.0,658.0
952.0,658.0,1066.0,673.0
1066.0,673.0,1078.0,11.0
1078.0,11.0,1061.0,11.0
981.0,129.0,747.0,113.0
747.0,113.0,664.0,144.0
664.0,144.0,609.0,172.0
609.0,172.0,540.0,189.0
540.0,189.0,460.0,193.0
460.0,193.0,387.0,181.0
387.0,181.0,296.0,111.0
296.0,111.0,193.0,110.0
193.0,110.0,102.0,143.0
102.0,143.0,136.0,363.0
136.0,363.0,230.0,522.0
230.0,522.0,289.0,555.0
289.0,555.0,490.0,519.0
490.0,519.0,627.0,459.0
627.0,459.0,739.0,449.0
739.0,449.0,898.0,495.0
898.0,495.0,953.0,542.0
953.0,542.0,980.0,128.0
