1021.0,601.0,765.0,601.0
765.0,601.0,715.0,582.0
715.0,582.0,681.0,545.0
681.0,545.0,642.0,519.0
642.0,519.0,567.0,504.0
567.0,504.0,373.0,507.0
373.0,507.0,297.0,540.0
297.0,540.0,269.0,572.0
269.0,572.0,237.0,594.0
237.0,594.0,88.0,603.0
88.0,603.0,86.0,350.0
86.0,350.0,218.0,350.0
218.0,350.0,239.0,310.0
239.0,310.0,241.0,87.0
241.0,87.0,271.0,75.0
271.0,75.0,285.0,89.0
285.0,89.0,288.0,326.0
288.0,326.0,319.0,353.0
319.0,353.0,820.0,358.0
820.0,358.0,824.0,457.0
824.0,457.0,856.0,480.0
856.0,480.0,1024.0,484.0
1024.0,484.0,1022.0,602.0
1063.0,664.0,743.0,663.0
743.0,663.0,688.0,646.0
688.0,646.0,640.0,602.0
640.0,602.0,593.0,571.0
593.0,571.0,380.0,571.0
380.0,571.0,335.0,593.0
335.0,593.0,310.0,632.0
310.0,632.0,240.0,663.0
240.0,663.0,31.0,663.0
31.0,663.0,11.0,627.0
11.0,627.0,15.0,318.0
15.0,318.0,46.0,286.0
46.0,286.0,168.0,286.0
168.0,286.0,170.0,64.0
170.0,64.0,250.0,12.0
250.0,12.0,288.0,15.0
288.0,15.0,352.0,71.0
352.0,71.0,357.0,282.0
357.0,282.0,862.0,296.0
862.0,296.0,891.0,326.0
891.0,326.0,892.0,418.0
892.0,418.0,1059.0,420.0
1059.0,420.0,1090.0,445.0
1090.0,445.0,1095.0,625.0
1095.0,625.0,1061.0,664.0
