990.0,15.0,760.0,10.0
760.0,10.0,667.0,58.0
667.0,58.0,618.0,89.0
618.0,89.0,557.0,88.0
557.0,88.0,504.0,39.0
504.0,39.0,260.0,18.0
260.0,18.0,33.0,86.0
33.0,86.0,25.0,596.0
25.0,596.0,143.0,671.0
143.0,671.0,379.0,589.0
379.0,589.0,460.0,590.0
460.0,590.0,460.0,660.0
460.0,660.0,854.0,663.0
854.0,663.0,845.0,583.0
845.0,583.0,1073.0,588.0
1073.0,588.0,1069.0,19.0
1069.0,19.0,980.0,14.0
1017.0,95.0,769.0,86.0
769.0,86.0,626.0,152.0
626.0,152.0,547.0,151.0
547.0,151.0,456.0,98.0
456.0,98.0,276.0,75.0
276.0,75.0,171.0,110.0
171.0,110.0,159.0,523.0
159.0,523.0,205.0,548.0
205.0,548.0,346.0,495.0
346.0,495.0,463.0,499.0
463.0,499.0,458.0,409.0
458.0,409.0,852.0,408.0
852.0,408.0,839.0,495.0
839.0,495.0,953.0,504.0
953.0,504.0,1021.0,94.0
1021.0,94.0,1013.0,94.0
100.0,149.0,169.0,147.0
29.0,245.0,107.0,246.0
163.0,349.0,86.0,346.0
26.0,442.0,98.0,452.0
553.0,479.0,556.0,587.0
687.0,661.0,683.0,574.0
676.0,408.0,682.0,499.0
764.0,517.0,765.0,531.0
157.0,522.0,98.0,570.0
217.0,642.0,231.0,591.0
